"","names","Freq"
"1","Various",4861
"2","Anonymous",1211
"3","Unknown",209
"4","William Shakespeare",123
"5","George Manville Fenn",120
"6","Jules Verne",115
"7","U.S. Copyright Office",112
"8","W.W. Jacobs",105
"9","Mór Jókai",100
"10","W.H.G. Kingston",100
"11","George Sand",93
"12","R.M. Ballantyne",86
"13","Alexandre Dumas",84
"14","William Le Queux",73
"15","Margaret Oliphant",67
"16","Charles Dickens",64
"17","Fergus Hume",62
"18","G. A. Henty",62
"19","James Grant",61
"20","Jack London",60
"21","Ralph Henry Barbour",59
"22","Oliver Optic",57
"23","Arthur Conan Doyle",56
"24","Guy de Maupassant",55
"25","Mayne Reid",55
"26","Jacob Abbott",54
"27","Robert Louis Stevenson",54
"28","John Ruskin",52
"29","Gustave Aimard",51
"30","Harry Castlemon",51
"31","Carolyn Wells",50
"32","Laura Lee Hope",50
"33","August Strindberg",49
"34","Rudyard Kipling",49
"35","Anatole France",48
"36","Burt L. Standish",47
"37","Marie Lebert",47
"38","Mark Twain",47
"39","Victor Hugo",46
"40","Henrik Ibsen",45
"41","James Otis",45
"42","Percy F. Westerman",45
"43","Harold Bindloss",44
"44","Daniel Defoe",43
"45","George O. Smith",43
"46","Henry James",43
"47","Howard R. Garis",43
"48","Murray Leinster",43
"49","Richard Cannon",43
"50","Anthony Trollope",42
"51","Camilo Castelo Branco",42
"52","Gordon Randall Garrett",42
"53","H. G. Wells",42
"54","Andrew Lang",41
"55","Arnold Bennett",41
"56","Maurice Maeterlinck",41
"57","Zacharias Topelius",41
"58","Charles James Lever",40
"59","Plato",40
"60","Roy J. Snell",40
"61","Benito Pérez Galdós",39
"62","Romain Rolland",39
"63","E. Phillips Oppenheim",38
"64","Edward S. Ellis",38
"65","H. Irving Hancock",38
"66","Harriet Beecher Stowe",38
"67","L. T. Meade",38
"68","Louis Becke",38
"69","Oscar Wilde",38
"70","F. Marion Crawford",37
"71","Hilaire Belloc",37
"72","Jules Michelet",37
"73","Mrs. Margaret Oliphant",37
"74","Horatio Alger",36
"75","Edward Hoare",35
"76","Edward Stratemeyer",35
"77","Frances Hodgson Burnett",35
"78","Herbert Strang",35
"79","Nick Carter",35
"80","Robert W. Chambers",35
"81","Arthur Scott Bailey",34
"82","Charles G. Harper",34
"83","Harry Collingwood",34
"84","L. Frank Baum",34
"85","Laura E. Richards",34
"86","Martha Finley",34
"87","Stanley R. Matthews",34
"88","Bryce Walton",33
"89","E. F. Benson",33
"90","William Clark Russell",33
"91","Gustave Flaubert",32
"92","Sabine Baring-Gould",32
"93","Walter Scott",32
"94","Alphonse Daudet",31
"95","G. K. Chesterton",31
"96","Henryk Sienkiewicz",31
"97","Pierre Loti",31
"98","Sigmund Freud",31
"99","Theodore Roosevelt",31
"100","Alphonse de Lamartine",30
"101","Annie Fellows Johnston",30
"102","Anthony Hope",30
"103","Charles G. D. Roberts",30
"104","Émile Zola",30
"105","John Kendrick Bangs",30
"106","Roger McGuinn",30
"107","Thornton W. Burgess",30
"108","Work Projects Administration",30
"109","Edgar Rice Burroughs",29
"110","Edith Wharton",29
"111","Frederick Marryat",29
"112","Johann Wolfgang von Goethe",29
"113","Mrs. Henry Wood",29
"114","Robert G. Ingersoll",29
"115","Adolphe Thiers",28
"116","Charles King",28
"117","Francesco Domenico Guerrazzi",28
"118","John Morley",28
"119","Leo Tolstoy",28
"120","The Chautauquan Literary and Scientific Circle",28
"121","Bertram Mitford",27
"122","Gordon Stables",27
"123","Juhani Aho",27
"124","Margaret Vandercook",27
"125","Mildred A. Wirt",27
"126","Percy Keese Fitzhugh",27
"127","Roberto Bracco",27
"128","Upton Sinclair",27
"129","William Butler Yeats",27
"130","A. E. Brehm",26
"131","Allen Chapman",26
"132","Charles Kingsley",26
"133","Milton Lesser",26
"134","Emerson Hough",25
"135","Eugene Sue",25
"136","Louis Tracy",25
"137","Meredith Nicholson",25
"138","Remy de Gourmont",25
"139","Stanley J. Weyman",25
"140","W. C. Tuttle",25
"141","Walter Crane",25
"142","Angela Brazil",24
"143","B. M. Bower",24
"144","G. P. R. (George Payne Rainsford) James",24
"145","Horatio Alger Jr.",24
"146","James Oliver Curwood",24
"147","Raphael Holinshed",24
"148","Sophie May",24
"149","Thomas Babington Macaulay",24
"150","Thomas Nelson Page",24
"151","Walter Besant",24
"152","Albert Bigelow Paine",23
"153","Anna Katharine Green",23
"154","Beatrix Potter",23
"155","Clarence Young",23
"156","Daniel G. Brinton",23
"157","Edmund Yates",23
"158","Eino Leino",23
"159","Emily Sarah Holt",23
"160","George Borrow",23
"161","Henry Beam Piper",23
"162","John Church",23
"163","Jonathan Swift",23
"164","Károly Eötvös",23
"165","Maiju Lassila",23
"166","Mrs. Molesworth",23
"167","Nicholas Carter",23
"168","Paul Bourget",23
"169","Richard Marsh",23
"170","Albert F. Calvert",22
"171","Alberto Pimentel",22
"172","Charles Paul de Kock",22
"173","Charles Sumner",22
"174","Evelyn Everett-Green",22
"175","Evelyn Raymond",22
"176","Grant Allen",22
"177","Hamlin Garland",22
"178","J. Ewing Ritchie",22
"179","Louis Couperus",22
"180","Rabindranath Tagore",22
"181","Ray Cummings",22
"182","Alan Edward Nourse",21
"183","Alfred Coppel",21
"184","Anton Giulio Barrili",21
"185","Arthur M. Winfield",21
"186","Edgar Allan Poe",21
"187","Edgar Wallace",21
"188","Frank R. Stockton",21
"189","Fritz Leiber",21
"190","Hall Caine",21
"191","Joseph A. Altsheler",21
"192","Julius Krohn",21
"193","Lewis Carroll",21
"194","Lillian Elizabeth Roy",21
"195","Matilde Serao",21
"196","Mrs. Humphry Ward",21
"197","Washington Irving",21
"198","William Carleton",21
"199","Algernon Blackwood",20
"200","E. Raymond Hall",20
"201","Francis Lynde",20
"202","Frank Frankfort Moore",20
"203","Gabriele D'Annunzio",20
"204","George Grote",20
"205","Hermann Hesse",20
"206","Hermann Sudermann",20
"207","Horatio Alger, Jr.",20
"208","James Fenimore Cooper",20
"209","Jim Harmon",20
"210","Johanna Spyri",20
"211","John Ashton",20
"212","John S. C. Abbott",20
"213","Louisa M. Alcott",20
"214","Mary Hazelton Wade",20
"215","Mrs. Alex. McVeigh Miller",20
"216","Stephen H. Branch",20
"217","William Black",20
"218","Winston Marks",20
"219","Arthur Schopenhauer",19
"220","Charles Morris",19
"221","Ellis Parker Butler",19
"222","Flora Annie Steel",19
"223","Frank V. Webster",19
"224","George Cary Eggleston",19
"225","Hans Christian Andersen",19
"226","Hendrik Conscience",19
"227","J. S. Fletcher",19
"228","Jakob Wassermann",19
"229","Jalmari Finne",19
